site,plot,plot.unq,replicate,n.treat,n.treat.dummy,n.treat.cat,weevil,weevil.dummy,block,21_d13c,21_mg.c.gsoil,21_d15n,21_mg.n.gsoil,18_mg.c.gsoil,18_mg.n.gsoil,18_c.mg.m2,18_n.mg.m2,litter_kg_m2_mean,herb_kg_m2_mean,som_kg_m2_mean,pH2019,percent.moist2019,bd.cores.g.cm3.2021,bd.pits.g.cm3.2018,sum.13,sum.14,sum.21,numberwillow,numberother,totalnumber,willowarea,otherarea,totalstemarea
2,17,35,a,8,1,low,NW,0,6,-28.63,3,-1.85,0.190197691,1.587306,0.136661385,0.003968265,0.000341653,2.916363636,0.058181818,0.016818182,5.55,13.54,1.45,1.488,148.7,205.4444516,433.9,10,1,11,502.9318345,2.269800692,505.2016352
2,17,35,b,8,1,low,NW,0,6,-28.11,2.6,-1.16,0.160705272,1.631611385,0.123732154,0.004079028,0.00030933,2.916363636,0.058181818,0.016818182,5.55,13.54,1.45,1.488,148.7,205.4444516,433.9,10,1,11,502.9318345,2.269800692,505.2016352
2,17,35,c,8,1,low,NW,0,6,-27.77,2.1,-1.41,0.197857941,2.939652,0.243151231,0.00734913,0.000607878,2.916363636,0.058181818,0.016818182,5.55,13.54,1.45,1.488,148.7,205.4444516,433.9,10,1,11,502.9318345,2.269800692,505.2016352
1,3,3,a,16,3,high,NW,0,1,-27.49,10,0.82,0.649830769,5.428436667,0.379528889,0.013571092,0.000948822,2.365,0.067,0.01755,5.68,9.54,1.29,0.738,30.7,104.6935752,251.3,5,1,6,257.2184483,240.5281875,497.7466358
1,3,3,b,16,3,high,NW,0,1,-27.65,9,0.09,0.612603707,6.833558,0.488101778,0.017083895,0.001220254,2.365,0.067,0.01755,5.68,9.54,1.29,0.738,30.7,104.6935752,251.3,5,1,6,257.2184483,240.5281875,497.7466358
1,3,3,c,16,3,high,NW,0,1,-27.78,8.8,-0.16,0.632897796,6.955239333,0.480843778,0.017388098,0.001202109,2.365,0.067,0.01755,5.68,9.54,1.29,0.738,30.7,104.6935752,251.3,5,1,6,257.2184483,240.5281875,497.7466358
1,6,6,a,16,3,high,W,1,1,-28.71,7.8,-2.38,0.483162268,3.32331455,0.28186348,0.008308286,0.000704659,3.262083333,0.032916667,0.020416667,5.64,13.48,1.15,1.145,122.2,183.9166879,251,10,2,12,396.0990703,34.54377472,430.6428451
1,6,6,b,16,3,high,W,1,1,-28.47,7.1,-1.74,0.539592764,2.90147313,0.29288776,0.007253683,0.000732219,3.262083333,0.032916667,0.020416667,5.64,13.48,1.15,1.145,122.2,183.9166879,251,10,2,12,396.0990703,34.54377472,430.6428451
1,6,6,c,16,3,high,W,1,1,-28.45,7.3,-1.95,0.535851982,3.24828677,0.38750954,0.008120717,0.000968774,3.262083333,0.032916667,0.020416667,5.64,13.48,1.15,1.145,122.2,183.9166879,251,10,2,12,396.0990703,34.54377472,430.6428451
1,9,9,a,16,3,high,NW,0,2,-28.15,4.7,-0.31,0.328978995,5.111258667,0.389800444,0.012778147,0.000974501,3.33055,0.07875,0.04215,5.71,12.23,1.44,1.264,67.7,285.3587147,283.9,7,0,7,495.7311471,0,495.7311471
